026-06-22 17:10:22,485 | INFO | ============================================================
2026-06-22 18:33:38,145 | INFO |   → OK | 5859 kata | disimpan ke case_025.txt
2026-06-22 18:33:38,146 | INFO | [26/35] Memproses: putusan_212-k_pm.iii-19_ad_vi_2023_20260619170704.pdf
2026-06-22 18:33:39,935 | INFO |   → OK | 6832 kata | disimpan ke case_026.txt
2026-06-22 18:33:39,936 | INFO | [27/35] Memproses: putusan_26-k_pm.iii-19_al_i_2023_20260619163545.pdf
2026-06-22 18:33:41,091 | INFO |   → OK | 5221 kata | disimpan ke case_027.txt
2026-06-22 18:33:41,091 | INFO | [28/35] Memproses: putusan_30-k_pm.iii-19_al_i_2023_20260619163938.pdf
2026-06-22 18:33:42,518 | INFO |   → OK | 4783 kata | disimpan ke case_028.txt
2026-06-22 18:33:42,519 | INFO | [29/35] Memproses: putusan_40-k_pm.iii-19_ad_i_2023_20260619164146.pdf
2026-06-22 18:33:44,271 | INFO |   → OK | 8618 kata | disimpan ke case_029.txt
2026-06-22 18:33:44,271 | INFO | [30/35] Memproses: putusan_67-k_pm.iii-19_ad_i_2023_20260619165034.pdf
2026-06-22 18:33:44,971 | INFO |   → OK | 439 kata | disimpan ke case_030.txt
2026-06-22 18:33:44,971 | INFO | [31/35] Memproses: putusan_94-k_pm.iii-19_ad_ii_2023_20260619170036.pdf
2026-06-22 18:33:45,610 | INFO |   → OK | 4810 kata | disimpan ke case_031.txt
2026-06-22 18:33:45,610 | INFO | [32/35] Memproses: putusan_95-k_pm.iii-19_ad_ii_2023_20260619165811.pdf
2026-06-22 18:33:46,363 | INFO |   → OK | 4864 kata | disimpan ke case_032.txt
2026-06-22 18:33:46,364 | INFO | [33/35] Memproses: putusan_96-k_pm.iii-19_ad_ii_2023_20260619164748.pdf
2026-06-22 18:33:47,076 | INFO |   → OK | 466 kata | disimpan ke case_033.txt
2026-06-22 18:33:47,076 | INFO | [34/35] Memproses: putusan_98-k_pm.iii-19_ad_ii_2023_20260619165650.pdf
2026-06-22 18:33:48,143 | INFO |   → OK | 4581 kata | disimpan ke case_034.txt
2026-06-22 18:33:48,144 | INFO | [35/35] Memproses: putusan_99-k_pm.iii-19_ad_ii_2023_20260619164031.pdf
2026-06-22 18:33:49,540 | INFO |   → OK | 4769 kata | disimpan ke case_035.txt
2026-06-22 18:33:49,540 | INFO | 
============================================================
2026-06-22 18:33:49,540 | INFO | SELESAI PREPROCESSING
2026-06-22 18:33:49,541 | INFO |   Berhasil : 34 file
2026-06-22 18:33:49,541 | INFO |   Dilewati : 1 file
2026-06-22 18:33:49,541 | INFO |   Error    : 0 file
2026-06-22 18:33:49,541 | INFO |   Total    : 35 file
2026-06-22 18:33:49,541 | INFO |   Output   : c:\file\cbr-desersi\data\raw
2026-06-22 18:33:49,542 | INFO |   Log      : c:\file\cbr-desersi\logs\cleaning.log
2026-06-22 18:33:49,542 | INFO | ============================================================
2026-06-22 18:59:34,492 | INFO | ============================================================
2026-06-22 18:59:34,492 | INFO | Mulai preprocessing — 2026-06-22 18:59:34
2026-06-22 18:59:34,492 | INFO | Total PDF ditemukan: 35
2026-06-22 18:59:34,492 | INFO | ============================================================
2026-06-22 18:59:34,493 | INFO | [1/35] Memproses: putusan_100-k_pm.iii-19_ad_ii_2023_20260619164642.pdf
2026-06-22 18:59:35,262 | INFO |   → OK | 493 kata | disimpan ke case_001.txt
2026-06-22 18:59:35,263 | INFO | [2/35] Memproses: putusan_102-k_pm.iii-19_ad_ii_2023_20260619165436.pdf
2026-06-22 18:59:36,185 | INFO |   → OK | 4955 kata | disimpan ke case_002.txt
2026-06-22 18:59:36,186 | INFO | [3/35] Memproses: putusan_103-k_pm.iii-19_ad_ii_2023_20260619164921.pdf
2026-06-22 18:59:37,057 | INFO |   → OK | 466 kata | disimpan ke case_003.txt
2026-06-22 18:59:37,057 | INFO | [4/35] Memproses: putusan_104-k_pm.iii-19_ad_ii_2023_20260619165338.pdf
2026-06-22 18:59:37,793 | INFO |   → OK | 5069 kata | disimpan ke case_004.txt
2026-06-22 18:59:37,794 | INFO | [5/35] Memproses: putusan_105-k_pm.iii-19_ad_ii_2023_20260619170014.pdf
2026-06-22 18:59:38,487 | INFO |   → OK | 4561 kata | disimpan ke case_005.txt
2026-06-22 18:59:38,487 | INFO | [6/35] Memproses: putusan_112-k_pm.iii-19_ad_iii_2023_20260619165150.pdf
2026-06-22 18:59:39,251 | INFO |   → OK | 4987 kata | disimpan ke case_006.txt
2026-06-22 18:59:39,252 | INFO | [7/35] Memproses: putusan_120-k_pm.iii-19_ad_iii_2023_20260619170311.pdf
2026-06-22 18:59:40,192 | INFO |   → OK | 466 kata | disimpan ke case_007.txt
2026-06-22 18:59:40,192 | INFO | [8/35] Memproses: putusan_122-k_pm.iii-19_ad_iii_2023_20260619170256.pdf
